type	target1	target2	alg
0   	22     	8      	"[D R2 : [D' , R' U2 R]]"
0   	22     	10     	"[U R' D' : [U' , R' D R]]"
0   	22     	11     	"[D R : [R D' R' , U']]"
0   	22     	13     	"[U R U' D' : [R' D R , U2]]"
0   	22     	15     	"[R : [U , R' D R U' R D' R']]"
0   	22     	16     	"[D R U' : [R' U R , D']]"
0   	22     	17     	"[U R : [D' , R U' R']]"
0   	22     	18     	"[U R : [D2 , R U' R']]"
0   	22     	20     	"[R2' U' R2 : [D , R2' U R2 U' R2']]"
0   	22     	21     	"[R2' U R2 U' R2' , D']]"
0   	22     	23     	"[R U' R' : [D' , R' U R]]"
0   	23     	0      	"[R' D' U' R2 : [U' , R' D R]]"
0   	23     	1      	"[R' B : [D' , R U R']]"
0   	23     	3      	"[R' D' R2 : [U' , R' D R]]"
0   	23     	4      	"[R2 : [D' , R' U R]]"
0   	23     	5      	"[U' D R' U : [R U' R' , D]]"
0   	23     	6      	"[D U R U' : [F2 , U R' U' R]]"
0   	23     	8      	"[R2 U : [D' , R' U R]]"
0   	23     	10     	"[D U' R2' : [D , R U R']]"
0   	23     	11     	"[D R D : [U , R' D' R]]"
0   	23     	13     	"[D U' R2' : [D , R U2 R']]"
0   	23     	14     	"[U : [D' R' D , L2]]"
0   	23     	15     	"[R2 : [D' , R' U' R]]"
0   	23     	16     	"[R U' : [R' U R , D']]"
0   	23     	17     	"[R2 U : [D' , R' U' R]]"
0   	23     	19     	"[R U' D : [R' U R , D2]]"
0   	23     	20     	"[R U' D2 : [R' U R , D]]"
0   	23     	21     	"[R2' : [D' , R2 U' R2' U R2]]"
0   	23     	22     	"[R U' R2' : [U , R D' R']]"
